id,BHK,Bathroom,Parking,Price,Per_Sqft,Furnishing
381,2,2.0,1.0,5600000,5666.0,2
382,2,2.0,1.0,7000000,11667.0,2
383,2,1.0,1.0,3500000,11667.0,2
384,4,4.0,1.0,35000000,112179.0,0
385,3,2.0,1.0,9000000,11111.0,1
386,1,1.0,1.0,2300000,11111.0,1
387,3,2.0,1.0,6000000,11111.0,1
388,3,2.0,1.0,6000000,11111.0,2
389,2,2.0,1.0,2650000,15687.005888125614,1
390,3,2.0,1.0,4370000,4600.0,0
391,3,2.0,1.0,4620000,4620.0,2
392,2,2.0,1.0,3000000,5000.0,1
393,2,2.0,1.0,3300000,6111.0,1
394,3,2.0,1.0,5510000,6111.0,1
395,2,2.0,1.0,3200000,6111.0,1
396,2,2.0,1.0,2600000,6111.0,1
397,3,2.0,1.0,4000000,6111.0,1
398,2,1.0,1.0,1850000,6111.0,1
399,1,1.0,1.0,1700000,6111.0,1
400,3,2.0,1.0,2800000,6111.0,1
401,2,2.0,1.0,2150000,6111.0,1
402,4,3.0,1.0,6800000,6111.0,1
403,3,2.0,1.0,6200000,6111.0,1
404,2,2.0,1.0,3100000,6111.0,1
405,3,2.0,1.0,3400000,6111.0,1
406,2,2.0,1.0,4000000,6111.0,2
407,2,2.0,1.0,4800000,6584.0,1
408,2,2.0,1.0,2500000,6584.0,1
409,1,1.0,1.0,2000000,6584.0,1
410,2,2.0,1.0,1900000,6584.0,1
411,3,2.0,1.0,5800000,5794.0,0
412,2,2.0,1.0,2900000,5794.0,2
413,2,1.0,1.0,2000000,5794.0,1
414,2,2.0,1.0,2600000,5794.0,1
415,2,1.0,1.0,2900000,5794.0,2
416,2,2.0,1.0,3200000,5794.0,2
417,3,2.0,1.0,5400000,5794.0,1
418,3,2.0,1.0,3800000,5794.0,1
419,5,4.0,1.0,135000000,28797.0,2
420,4,4.0,1.0,93000000,23840.0,2
421,2,3.0,1.0,8200000,23840.0,0
422,3,2.0,1.0,8000000,23840.0,2
423,3,2.0,1.0,9500000,23840.0,1
424,4,5.0,1.0,20000000,23840.0,1
425,2,2.0,3.0,7400000,23840.0,0
426,3,3.0,1.0,37500000,23840.0,1
427,4,4.0,3.0,15000000,7500.0,1
428,3,3.0,1.0,55300000,7500.0,1
429,3,3.0,2.0,26500000,7500.0,1
430,3,2.0,2.0,16000000,160000.0,1
431,3,2.0,2.0,10400000,11556.0,0
432,1,1.0,2.0,1700000,11556.0,2
433,2,2.0,2.0,8000000,8421.0,1
434,3,3.0,2.0,27000000,8421.0,1
435,3,3.0,2.0,19500000,8421.0,1
436,3,3.0,3.0,50000000,27778.0,0
437,3,3.0,3.0,21100000,11722.0,2
438,3,3.0,1.0,57000000,24718.0,2
439,2,3.0,1.0,5900000,24718.0,1
440,3,2.0,1.0,12000000,85714.0,2
441,3,2.0,1.0,12000000,13333.0,2
442,3,3.0,1.0,24000000,13333.0,2
443,1,1.0,1.0,7000000,13333.0,1
444,3,3.0,1.0,15000000,8418.0,1
445,2,2.0,1.0,1500000,1667.0,0
446,2,1.0,1.0,3950000,1667.0,1
447,3,3.0,1.0,12500000,8333.0,2
448,3,1.0,1.0,1600000,24242.0,2
449,4,4.0,2.0,36500000,15687.005888125614,2
450,3,2.0,1.0,20000000,15687.005888125614,1
451,2,2.0,1.0,15000000,15687.005888125614,1
452,3,2.0,2.0,25000000,15687.005888125614,1
453,3,2.0,2.0,18500000,15687.005888125614,1
454,4,3.0,2.0,23500000,15687.005888125614,2
455,1,1.0,1.0,8000000,15687.005888125614,1
456,3,2.0,1.0,23000000,15687.005888125614,2
457,3,3.0,1.0,31000000,15500.0,2
458,1,2.0,1.0,7400000,15500.0,1
459,2,2.0,1.0,15500000,15500.0,2
460,2,2.0,2.0,12000000,15500.0,1
461,3,2.0,2.0,23500000,15500.0,1
462,3,2.0,2.0,25000000,20833.0,1
463,1,2.0,2.0,7000000,20833.0,2
464,2,2.0,1.0,17500000,20833.0,2
465,3,2.0,1.0,25000000,20833.0,1
466,4,4.0,1.0,29000000,20833.0,2
467,3,3.0,1.0,21900000,20833.0,1
468,1,2.0,1.0,7500000,20833.0,0
469,4,3.0,2.0,23500000,10681.0,1
470,2,2.0,2.0,24000000,21818.0,1
471,3,2.0,2.0,31000000,21818.0,1
472,2,2.0,3.0,16500000,21818.0,1
473,2,2.0,1.0,5000000,21818.0,0
474,3,2.0,1.0,24000000,21818.0,0
475,2,2.0,1.0,17000000,14358.0,1
476,4,2.0,1.0,40000000,14358.0,0
477,4,4.0,5.0,22500000,14358.0,1
478,3,3.0,2.0,20000000,14358.0,0
479,5,4.0,1.0,135000000,28797.0,2
480,2,2.0,1.0,5000000,6667.0,1
481,4,4.0,1.0,93000000,23840.0,2
482,3,2.0,1.0,4370000,4600.0,0
483,3,2.0,1.0,4620000,4620.0,2
484,2,1.0,1.0,1900000,2235.0,1
485,4,4.0,1.0,70000000,2235.0,1
486,3,2.0,1.0,5130000,3800.0,2
487,2,2.0,1.0,3000000,5000.0,1
488,4,4.0,1.0,5890000,4247.0,2
489,2,2.0,1.0,3300000,6111.0,1
490,2,2.0,1.0,24900000,25512.0,0
491,3,2.0,1.0,3700000,3524.0,2
492,4,3.0,1.0,60000000,22222.0,1
493,3,2.0,1.0,17400000,22222.0,2
494,5,5.0,1.0,51000000,22222.0,0
495,5,6.0,4.0,170000000,22222.0,2
496,3,2.0,1.0,5510000,22222.0,1
497,3,3.0,2.0,25000000,22222.0,0
498,3,3.0,1.0,57000000,24718.0,2
499,2,2.0,1.0,2940000,24718.0,1
500,3,3.0,1.0,15500000,24718.0,1
501,3,2.0,1.0,17200000,24718.0,1
502,4,3.0,2.0,55000000,30556.0,1
503,2,2.0,1.0,15000000,30556.0,1
504,4,4.0,2.0,51000000,30556.0,1
505,4,3.0,1.0,13000000,30556.0,1
506,3,3.0,1.0,30000000,18750.0,1
507,2,2.0,1.0,2400000,18750.0,1
508,4,3.0,1.0,5500000,18750.0,2
509,2,2.0,1.0,2900000,58000.0,1
510,5,2.0,1.0,17000000,58000.0,1
511,3,3.0,1.0,25000000,18519.0,1
512,3,2.0,1.0,10000000,4444.0,1
513,2,1.0,1.0,7500000,4444.0,1
514,3,1.0,1.0,3600000,7143.0,1
515,3,2.0,1.0,35000000,7143.0,1
516,2,1.0,1.0,6000000,13333.0,2
517,4,2.0,1.0,17500000,9722.0,0
518,4,3.0,1.0,35000000,19444.0,0
519,5,2.0,1.0,10200000,6667.0,0
520,4,4.0,1.0,29000000,6667.0,2
521,4,3.0,1.0,41000000,6667.0,1
522,3,2.0,1.0,6000000,6667.0,0
523,2,1.0,1.0,2500000,6667.0,0
524,1,1.0,1.0,2200000,6667.0,2
525,2,2.0,1.0,21500000,6667.0,0
526,4,1.0,1.0,15000000,6667.0,0
527,5,6.0,1.0,28900000,6667.0,0
528,3,2.0,1.0,5500000,6667.0,2
529,2,1.0,1.0,1950000,6667.0,1
530,2,1.0,1.0,3800000,6667.0,2
531,2,1.0,1.0,6200000,6667.0,1
532,4,3.0,1.0,14000000,6667.0,0
533,2,2.0,1.0,7500000,6667.0,2
534,2,2.0,1.0,2670000,6667.0,2
535,2,2.0,1.0,2500000,6667.0,1
536,3,2.0,1.0,4000000,4040.0,2
537,2,1.0,1.0,3500000,7778.0,1
538,2,2.0,1.0,5000000,5000.0,2
539,4,3.0,2.0,29500000,21071.0,1
540,3,2.0,1.0,19000000,14074.0,2
541,4,3.0,1.0,25500000,14074.0,0
542,4,4.0,3.0,75000000,28846.0,1
543,4,5.0,4.0,75000000,28846.0,1
544,3,3.0,1.0,34000000,28846.0,1
545,4,4.0,1.0,47500000,28846.0,1
546,4,5.0,3.0,75000000,28846.0,1
547,3,3.0,2.0,23000000,28846.0,1
548,3,2.0,1.0,24000000,28846.0,1
549,3,2.0,2.0,21500000,28846.0,1
550,3,2.0,1.0,28500000,28846.0,1
551,4,4.0,1.0,12500000,6944.0,1
552,3,3.0,1.0,45000000,6944.0,2
553,4,3.0,2.0,30500000,6944.0,0
554,3,3.0,3.0,22500000,6944.0,1
555,3,3.0,1.0,28000000,6944.0,0
556,3,4.0,2.0,25000000,14705.0,1
557,4,4.0,2.0,33700000,14705.0,1
558,3,3.0,1.0,27000000,18000.0,1
559,4,4.0,2.0,43500000,18000.0,1
560,3,3.0,2.0,29000000,18000.0,1
561,3,3.0,2.0,30000000,17647.0,1
562,4,4.0,2.0,52100000,17647.0,1
563,3,3.0,1.0,32500000,18055.0,2
564,3,2.0,1.0,20500000,18055.0,1
565,4,3.0,1.0,25000000,12500.0,1
566,3,3.0,2.0,30000000,12500.0,1
567,4,5.0,2.0,51000000,12500.0,1
568,4,4.0,1.0,31000000,12500.0,1
569,3,3.0,1.0,37500000,15687.005888125614,1
570,3,3.0,1.0,32500000,15687.005888125614,1
571,3,3.0,4.0,37500000,25000.0,1
572,4,4.0,3.0,55000000,25000.0,1
573,4,4.0,2.0,87500000,25000.0,1
574,2,2.0,1.0,16300000,14818.0,2
575,4,4.0,2.0,65000000,14818.0,2
576,3,3.0,1.0,25000000,14818.0,2
577,3,3.0,1.0,38000000,14818.0,1
578,2,2.0,1.0,15000000,14818.0,2
579,2,1.0,1.0,2000000,14818.0,1
580,1,1.0,1.0,3000000,14818.0,2
581,2,2.0,1.0,8500000,14818.0,1
582,4,4.0,1.0,55000000,14818.0,1
583,3,3.0,2.0,22500000,14818.0,1
584,4,4.0,1.0,72500000,14818.0,1
585,6,7.0,1.0,160000000,14818.0,0
586,3,3.0,1.0,12500000,14818.0,1
587,2,2.0,1.0,17000000,14818.0,1
588,4,4.0,3.0,82500000,14818.0,2
589,4,5.0,2.0,55000000,14818.0,1
590,3,3.0,1.0,35000000,14818.0,1
591,4,4.0,2.0,42500000,14818.0,1
592,2,2.0,1.0,4700000,14818.0,1
593,4,5.0,2.0,52500000,14818.0,2
